roi_idx,roi_token,atlas,yeo7_network,confidence,note
77,CO_R,HO_cortical,SOMMOT,high,Central operculum = secondary somatosensory (S2)
78,CO_L,HO_cortical,SOMMOT,high,mirror of CO_R
79,PO_R,HO_cortical,SOMMOT,high,Parietal operculum = S2
80,PO_L,HO_cortical,SOMMOT,high,mirror of PO_R
81,PP_R,HO_cortical,SOMMOT,high,Planum polare = auditory association
82,PP_L,HO_cortical,SOMMOT,high,mirror of PP_R
83,HG_R,HO_cortical,SOMMOT,high,Heschl's gyrus = primary auditory cortex
84,HG_L,HO_cortical,SOMMOT,high,mirror of HG_R
85,PT_R,HO_cortical,SOMMOT,high,Planum temporale = auditory association
86,PT_L,HO_cortical,SOMMOT,high,mirror of PT_R
87,SCC_R,HO_cortical,VIS,high,Supracalcarine cortex = V1/V2
88,SCC_L,HO_cortical,VIS,high,mirror of SCC_R
89,OP_R,HO_cortical,VIS,high,Occipital pole = early visual
90,OP_L,HO_cortical,VIS,high,mirror of OP_R
91,Thalamus_R,HO_subcortical,SUBCORTICAL,na,Thalamus; Yeo-7 not defined for subcortex - auxiliary bucket
92,Thalamus_L,HO_subcortical,SUBCORTICAL,na,mirror of Thalamus_R
93,Caudate_R,HO_subcortical,SUBCORTICAL,na,Caudate; dorsal striatum
94,Caudate_L,HO_subcortical,SUBCORTICAL,na,mirror of Caudate_R
95,Putamen_R,HO_subcortical,SUBCORTICAL,na,Putamen; dorsal striatum
96,Putamen_L,HO_subcortical,SUBCORTICAL,na,mirror of Putamen_R
97,Pallidum_R,HO_subcortical,SUBCORTICAL,na,Globus pallidus
98,Pallidum_L,HO_subcortical,SUBCORTICAL,na,mirror of Pallidum_R
99,Hippocampus_R,HO_subcortical,SUBCORTICAL,na,Hippocampus
100,Hippocampus_L,HO_subcortical,SUBCORTICAL,na,mirror of Hippocampus_R
101,Amygdala_R,HO_subcortical,SUBCORTICAL,na,Amygdala
102,Amygdala_L,HO_subcortical,SUBCORTICAL,na,mirror of Amygdala_R
103,Accumbens_R,HO_subcortical,SUBCORTICAL,na,Nucleus accumbens; ventral striatum
104,Accumbens_L,HO_subcortical,SUBCORTICAL,na,mirror of Accumbens_R
105,Brain-Stem,HO_subcortical,SUBCORTICAL,na,Brain-Stem (midbrain proxy for VTA/SN)
106,Cereb1_L,AAL_cerebellar,CEREBELLAR,na,Cerebellar lobule I (Buckner 2011 cerebellar-Yeo split not applied in v1)
107,Cereb1_R,AAL_cerebellar,CEREBELLAR,na,mirror of Cereb1_L
108,Cereb2_L,AAL_cerebellar,CEREBELLAR,na,Cerebellar lobule II
109,Cereb2_R,AAL_cerebellar,CEREBELLAR,na,mirror of Cereb2_L
110,Cereb3_L,AAL_cerebellar,CEREBELLAR,na,Cerebellar lobule III
111,Cereb3_R,AAL_cerebellar,CEREBELLAR,na,mirror of Cereb3_L
112,Cereb45_L,AAL_cerebellar,CEREBELLAR,na,Cerebellar lobules IV-V
113,Cereb45_R,AAL_cerebellar,CEREBELLAR,na,mirror of Cereb45_L
114,Cereb6_L,AAL_cerebellar,CEREBELLAR,na,Cerebellar lobule VI
115,Cereb6_R,AAL_cerebellar,CEREBELLAR,na,mirror of Cereb6_L
116,Cereb7_L,AAL_cerebellar,CEREBELLAR,na,Cerebellar lobule VIIb
117,Cereb7_R,AAL_cerebellar,CEREBELLAR,na,mirror of Cereb7_L
118,Cereb8_L,AAL_cerebellar,CEREBELLAR,na,Cerebellar lobule VIII
119,Cereb8_R,AAL_cerebellar,CEREBELLAR,na,mirror of Cereb8_L
120,Cereb9_L,AAL_cerebellar,CEREBELLAR,na,Cerebellar lobule IX
121,Cereb9_R,AAL_cerebellar,CEREBELLAR,na,mirror of Cereb9_L
122,Cereb10_L,AAL_cerebellar,CEREBELLAR,na,Cerebellar lobule X
123,Cereb10_R,AAL_cerebellar,CEREBELLAR,na,mirror of Cereb10_L
124,Ver12,AAL_cerebellar,CEREBELLAR,na,Vermis I-II
125,Ver3,AAL_cerebellar,CEREBELLAR,na,Vermis III
126,Ver45,AAL_cerebellar,CEREBELLAR,na,Vermis IV-V
127,Ver6,AAL_cerebellar,CEREBELLAR,na,Vermis VI
128,Ver7,AAL_cerebellar,CEREBELLAR,na,Vermis VII
129,Ver8,AAL_cerebellar,CEREBELLAR,na,Vermis VIII
130,Ver9,AAL_cerebellar,CEREBELLAR,na,Vermis IX
131,Ver10,AAL_cerebellar,CEREBELLAR,na,Vermis X
