roi_idx,roi_token,atlas,dopamine_bucket,confidence,note
17,aSTG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
18,pSTG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
19,pSTG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
20,aMTG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
21,aMTG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
22,pMTG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
23,pMTG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
24,toMTG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
25,toMTG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
26,aITG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
27,aITG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
28,pITG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
29,pITG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
30,toITG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
31,toITG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
32,PostCG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
33,PostCG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
34,SPL_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
35,SPL_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
36,aSMG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
37,aSMG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
38,pSMG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
39,pSMG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
40,AG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
41,AG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
42,sLOC_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
43,sLOC_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
44,iLOC_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
45,iLOC_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
46,ICC_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
47,ICC_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
48,MedFC,HO_cortical,da_projection_cortex,reward-core,vmPFC (HO Frontal Medial Cortex); reward-circuit core node [Haber&Knutson2010]; ventral-striatum FC target [DiMartino2008]
49,SMA_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
50,SMA_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
51,SubCalC,HO_cortical,da_projection_cortex,reward-core,subgenual vmPFC/ACC (HO Subcallosal Cortex); reward-circuit core node [Haber&Knutson2010]
52,PaCiG_R,HO_cortical,da_projection_cortex,reward-core,dorsal ACC (HO Paracingulate Gyrus); reward-circuit core node [Haber&Knutson2010]
53,PaCiG_L,HO_cortical,da_projection_cortex,reward-core,dorsal ACC (HO Paracingulate Gyrus); reward-circuit core node [Haber&Knutson2010]
54,AC,HO_cortical,da_projection_cortex,reward-core,ACC (HO Cingulate Gyrus anterior division); reward-circuit core node [Haber&Knutson2010]
55,PC,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
56,Precuneous,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
57,Cuneal_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
58,Cuneal_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
59,FOrb_R,HO_cortical,da_projection_cortex,reward-core,OFC (HO Frontal Orbital Cortex); orbital PFC reward-circuit core node [Haber&Knutson2010]
60,FOrb_L,HO_cortical,da_projection_cortex,reward-core,OFC (HO Frontal Orbital Cortex); orbital PFC reward-circuit core node [Haber&Knutson2010]
61,aPaHC_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
62,aPaHC_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
63,pPaHC_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
64,pPaHC_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
65,LG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
66,LG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
67,aTFusC_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
68,aTFusC_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
69,pTFusC_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
70,pTFusC_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
71,TOFusC_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
72,TOFusC_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
73,OFusG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
74,OFusG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
75,FO_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
76,FO_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
77,CO_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
78,CO_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
79,PO_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
80,PO_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
81,PP_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
82,PP_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
83,HG_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
84,HG_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
85,PT_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
86,PT_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
87,SCC_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
88,SCC_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
89,OP_R,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
90,OP_L,HO_cortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
91,Thalamus_R,HO_subcortical,other,excluded-atlas,mediodorsal thalamus is a reward-circuit node [Haber&Knutson2010] but HO labels only whole thalamus; kept in other to avoid diluting MD with sensory/motor nuclei
92,Thalamus_L,HO_subcortical,other,excluded-atlas,mediodorsal thalamus is a reward-circuit node [Haber&Knutson2010] but HO labels only whole thalamus; kept in other to avoid diluting MD with sensory/motor nuclei
93,Caudate_R,HO_subcortical,dorsal_striatum,reward-core,dorsal striatum; D2/D3 nigrostriatal target [Haber&Knutson2010]; dorsal-caudate FC to dlPFC+ACC [DiMartino2008]; striatal drug effect [Grimm2020]
94,Caudate_L,HO_subcortical,dorsal_striatum,reward-core,dorsal striatum; D2/D3 nigrostriatal target [Haber&Knutson2010]; dorsal-caudate FC to dlPFC+ACC [DiMartino2008]; striatal drug effect [Grimm2020]
95,Putamen_R,HO_subcortical,dorsal_striatum,reward-core,dorsal striatum; D2/D3 nigrostriatal target [Haber&Knutson2010]; striatal drug effect [Grimm2020]
96,Putamen_L,HO_subcortical,dorsal_striatum,reward-core,dorsal striatum; D2/D3 nigrostriatal target [Haber&Knutson2010]; striatal drug effect [Grimm2020]
97,Pallidum_R,HO_subcortical,other,excluded-atlas,globus pallidus; ventral pallidum is a reward-circuit node [Haber&Knutson2010] but HO labels only whole GP (mostly dorsal output stage); kept in other to avoid injecting non-reward GP signal
98,Pallidum_L,HO_subcortical,other,excluded-atlas,globus pallidus; ventral pallidum is a reward-circuit node [Haber&Knutson2010] but HO labels only whole GP (mostly dorsal output stage); kept in other to avoid injecting non-reward GP signal
99,Hippocampus_R,HO_subcortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
100,Hippocampus_L,HO_subcortical,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
101,Amygdala_R,HO_subcortical,da_projection_cortex,reward-core,amygdala; mesolimbic reward-circuit node receiving VTA projections [Haber&Knutson2010]
102,Amygdala_L,HO_subcortical,da_projection_cortex,reward-core,amygdala; mesolimbic reward-circuit node receiving VTA projections [Haber&Knutson2010]
103,Accumbens_R,HO_subcortical,ventral_striatum,reward-core,ventral striatum/NAcc; mesolimbic reward core [Haber&Knutson2010]; VS FC to vmPFC/OFC/limbic [DiMartino2008]
104,Accumbens_L,HO_subcortical,ventral_striatum,reward-core,ventral striatum/NAcc; mesolimbic reward core [Haber&Knutson2010]; VS FC to vmPFC/OFC/limbic [DiMartino2008]
105,Brain-Stem,HO_subcortical,midbrain_proxy,da-source-k1-dropped,VTA/SN dopamine source [Haber&Knutson2010 midbrain DA neurons]; HO has no dedicated midbrain mask so Brain-Stem is a gross proxy (pons+medulla+midbrain); k=1 -> dropped by k<2 FC rule; a dedicated VTA/SN ROI would require the Pauli2018 subcortical atlas (out of scope)
106,Cereb1_L,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
107,Cereb1_R,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
108,Cereb2_L,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
109,Cereb2_R,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
110,Cereb3_L,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
111,Cereb3_R,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
112,Cereb45_L,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
113,Cereb45_R,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
114,Cereb6_L,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
115,Cereb6_R,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
116,Cereb7_L,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
117,Cereb7_R,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
118,Cereb8_L,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
119,Cereb8_R,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
120,Cereb9_L,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
121,Cereb9_R,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
122,Cereb10_L,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
123,Cereb10_R,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
124,Ver12,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
125,Ver3,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
126,Ver45,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
127,Ver6,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
128,Ver7,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
129,Ver8,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
130,Ver9,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
131,Ver10,AAL_cerebellar,other,na,not in the cortico-striato-mesencephalic dopamine reward circuit [Haber&Knutson2010]
